Security Sensitive,Not Security Sensitive
ACTLR_EL1,ACCDATA_EL1
AFSR0_EL1,ACTLR_EL2
AFSR1_EL1,ACTLR_EL3
AMAIR2_EL1,AFSR0_EL2
AMAIR_EL1,AFSR0_EL3
APDAKeyHi_EL1,AFSR1_EL2
APDAKeyLo_EL1,AFSR1_EL3
APDBKeyHi_EL1,AMAIR2_EL2
APDBKeyLo_EL1,AMAIR2_EL3
APGAKeyHi_EL1,AMAIR_EL2
APGAKeyLo_EL1,AMAIR_EL3
APIAKeyHi_EL1,CONTEXTIDR_EL2
APIAKeyLo_EL1,ELR_EL2
APIBKeyHi_EL1,ELR_EL3
APIBKeyLo_EL1,ERXPFGCDN_EL1
CONTEXTIDR_EL1,ERXPFGCTL_EL1
CPACR_EL1,ERXPFGF_EL1
CPTR_EL2,ESR_EL2
CPTR_EL3,ESR_EL3
CSSELR_EL1,FAR_EL2
DBGAUTHSTATUS_EL1,FAR_EL3
DBGCLAIMCLR_EL1,GCR_EL1
DBGCLAIMSET_EL1,GCSCR_EL2
DBGDSCRext,GCSCR_EL3
DBGDSCRint,GCSPR_EL2
DBGDTRRX_EL0,GCSPR_EL3
DBGDTRTX_EL0,GPCCR_EL3
DBGDTR_EL0,GPTBR_EL3
DBGOSLSR,HACR_EL2
DBGPRCR_EL1,HAFGRTR_EL2
DISR_EL1,HDFGRTR2_EL2
ELR_EL1,HDFGWTR2_EL2
ERRIDR_EL1,HFGITR2_EL2
ERRSELR_EL1,HPFAR_EL2
ERXADDR_EL1,HSTR_EL2
ERXCTLR_EL1,MAIR2_EL2
ERXFR_EL1,MAIR2_EL3
ERXGSR_EL1,MAIR_EL2
ERXMISC0_EL1,MAIR_EL3
ERXMISC1_EL1,MDSELR_EL1
ERXMISC2_EL1,MFAR_EL3
ERXMISC3_EL1,MPAMHCR_EL2
ERXSTATUS_EL1,MPAMSM_EL1
ESR_EL1,OSLAR_EL1
FAR_EL1,PFAR_EL2
FPCR,PIRE0_EL2
FPSR,PIR_EL2
GCSCRE0_EL1,PIR_EL3
GCSCR_EL1,POR_EL2
GCSPR_EL0,POR_EL3
GCSPR_EL1,RGSR_EL1
HCRX_EL2,RMR_EL3
HCR_EL2,RVBAR_EL3
HDFGRTR_EL2,SCTLR2_EL3
HDFGWTR_EL2,SCTLR_EL3
HFGITR_EL2,SCXTNUM_EL2
HFGRTR2_EL2,SCXTNUM_EL3
HFGRTR_EL2,SMCR_EL1
HFGWTR2_EL2,SMCR_EL2
HFGWTR_EL2,SPSR_EL2
ID_AA64PFR0_EL1,SPSR_EL3
ISR_EL1,SPSR_abt
LORC_EL1,SPSR_fiq
LOREA_EL1,SPSR_irq
LORID_EL1,SPSR_und
LORN_EL1,SP_EL1
LORSA_EL1,SP_EL2
MAIR2_EL1,TCR2_EL2
MAIR_EL1,TCR_EL2
MDCCINT_EL1,TCR_EL3
MDCCSR_EL0,TPIDR_EL2
MDCR_EL2,TPIDR_EL3
MDCR_EL3,TTBR0_EL2
MDRAR_EL1,TTBR0_EL3
MDSCR_EL1,TTBR1_EL2
MPAM2_EL2,VBAR_EL2
MPAM3_EL3,VBAR_EL3
MPAMIDR_EL1,VDISR_EL2
OSDLR_EL1,VNCR_EL2
OSDTRRX_EL1,VSESR_EL2
OSDTRTX_EL1,VTTBR_EL2
OSECCR_EL1,ZCR_EL1
OSLSR_EL1,ZCR_EL2
PAR_EL1,
PFAR_EL1,
PIRE0_EL1,
PIR_EL1,
POR_EL0,
POR_EL1,
RCWMASK_EL1,
RCWSMASK_EL1,
RNDR,
RNDRRS,
S2PIR_EL2,
S2POR_EL1,
SCR_EL3,
SCTLR2_EL1,
SCTLR2_EL2,
SCTLR_EL1,
SCTLR_EL2,
SCXTNUM_EL0,
SCXTNUM_EL1,
SMCR_EL3,
SMIDR_EL1,
SPSR_EL1,
SP_EL0,
TCR2_EL1,
TCR_EL1,
TPIDR2_EL0,
TPIDRRO_EL0,
TPIDR_EL0,
TPIDR_EL1,
TTBR0_EL1,
TTBR1_EL1,
VBAR_EL1,
VTCR_EL2,
ZCR_EL3,
